session	playerNr	obsSocialInfo1	obsSocialInfo2	obsSocialInfo3	obsSocialInfo4	obsSocialInfo5	ants	bees	flamingos	cranes	crickets	ants_revised	bees_revised	flamingos_revised	cranes_revised	crickets_revised	IOS	conf1	conf2	conf3	conf4	conf5	conf6	conf7	conf8	conf9	conf10	conf11	indiv1	coll1	coll2	indiv2	indiv3	coll3	coll4	indiv4	age	gender	playerNr_R	obsSocialInfo1_R	obsSocialInfo2_R	obsSocialInfo3_R	obsSocialInfo4_R	obsSocialInfo5_R	ants_R	bees_R	flamingos_R	cranes_R	crickets_R	ants_revised_R	bees_revised_R	flamingos_revised_R	cranes_revised_R	crickets_revised_R	IOS_R	conf1_R	conf2_R	conf3_R	conf4_R	conf5_R	conf6_R	conf7_R	conf8_R	conf9_R	conf10_R	conf11_R	indiv1_R	coll1_R	coll2_R	indiv2_R	indiv3_R	coll3_R	coll4_R	indiv4_R	age_R	gender_R	playerNr_RR	obsSocialInfo1_RR	obsSocialInfo2_RR	obsSocialInfo3_RR	obsSocialInfo4_RR	obsSocialInfo5_RR	ants_RR	bees_RR	flamingos_RR	cranes_RR	crickets_RR	ants_revised_RR	bees_revised_RR	flamingos_revised_RR	cranes_revised_RR	crickets_revised_RR	IOS_RR	conf1_RR	conf2_RR	conf3_RR	conf4_RR	conf5_RR	conf6_RR	conf7_RR	conf8_RR	conf9_RR	conf10_RR	conf11_RR	indiv1_RR	coll1_RR	coll2_RR	indiv2_RR	indiv3_RR	coll3_RR	coll4_RR	indiv4_RR	age_RR	gender_RR
2	42	85	88	70	121	84	68	104	58	150	66	85	98	62	120	84	7	7	3	3	5	1	6	8	2	9	3	9	1	9	9	9	7	7	9	8	45	2	34	53	110	78	105	66	72	92	98	122	88	55	98	78	110	78	7	7	5	3	3	2	4	4	NA	6	5	3	9	9	9	9	8	7	9	9	45	2	26	155	68	70	78	60	428	58	90	92	48	180	68	80	92	58	6	7	2	2	3	1	4	7	2	8	5	3	9	9	9	9	7	8	8	9	38	2
1	18	100	68	48	76	56	82	58	60	90	75	85	60	60	85	70	1	7	4	2	5	4	5	6	5	6	7	6	8	9	8	7	8	5	8	8	42	2	35	60	80	80	92	78	80	70	100	80	62	75	75	80	80	65	1	6	5	3	5	5	4	7	4	6	5	6	9	8	8	8	9	4	8	9	42	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	19	75	85	64	76	69	60	75	80	90	55	65	80	75	85	58	4	6	7	3	8	4	1	9	1	9	3	9	9	7	8	9	9	1	6	9	31	2	32	56	100	64	102	57	75	90	80	120	75	65	100	75	115	70	1	7	8	2	6	2	1	9	1	9	1	9	9	9	9	9	9	1	7	9	32	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	46	100	85	66	83	85	80	75	55	99	68	95	80	59	90	76	2	6	4	6	6	6	4	4	6	6	6	6	6	5	5	7	6	4	5	7	27	1	77	56	98	85	85	69	75	85	71	100	55	70	92	78	95	60	2	6	4	7	4	6	4	7	6	6	4	7	7	5	5	6	6	4	4	6	27	1	39	95	77	66	77	54	76	90	55	90	72	86	84	55	85	62	3	4	5	7	6	6	4	6	4	6	6	6	7	5	4	6	7	5	5	7	28	1
2	44	80	68	48	68	53	65	80	60	80	71	65	75	58	75	71	1	6	8	1	8	2	2	9	1	8	2	9	9	5	5	8	9	6	8	9	37	2	23	60	100	64	85	55	81	91	80	100	74	75	91	78	100	74	1	6	8	2	8	6	2	9	2	8	2	9	9	3	6	9	9	4	9	9	37	2	7	89	84	54	77	58	71	72	67	91	77	75	73	62	87	71	2	6	8	2	7	4	2	9	2	8	2	9	9	3	5	7	9	6	7	9	37	2
1	44	95	59	59	92	72	75	51	49	110	57	82	52	50	105	65	3	4	1	1	1	1	8	7	8	5	1	7	7	9	9	5	7	2	4	9	41	2	64	80	100	56	72	50	65	90	47	63	39	75	91	47	65	44	4	6	9	2	1	1	9	8	6	7	1	9	8	9	9	7	8	2	5	9	41	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	30	95	75	60	80	75	75	65	50	70	60	85	65	55	75	65	6	6	6	3	4	3	4	7	3	7	6	7	9	9	9	7	8	8	9	9	31	1	70	75	80	64	75	60	60	70	80	90	80	65	75	70	85	65	4	7	5	1	1	1	2	9	2	7	6	6	9	8	8	7	9	8	9	9	31	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	13	30	40	30	25	30	24	34	25	28	24	26	35	25	28	26	3	2	5	2	3	2	3	9	3	8	2	9	8	5	7	8	8	5	5	8	32	1	27	56	80	43	75	54	45	70	35	65	43	50	75	36	67	45	2	2	5	2	4	2	3	9	5	9	2	9	8	5	6	8	8	2	6	8	32	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	30	75	68	52	83	75	100	80	65	100	60	90	80	60	95	60	7	9	1	6	9	9	9	1	3	4	9	4	1	9	9	1	5	9	9	5	52	2	72	56	85	55	85	62	75	100	45	100	50	65	90	50	90	60	4	9	1	1	9	9	6	6	4	6	6	6	1	9	9	1	5	9	9	5	52	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	10	38	37	44	58	50	30	32	36	50	40	35	32	36	50	40	4	7	3	7	6	6	6	4	6	4	6	4	4	5	5	4	5	5	6	7	26	2	43	66	100	65	92	75	88	90	81	110	60	77	90	81	100	65	5	6	4	7	6	5	4	4	6	4	6	4	4	6	6	5	6	5	6	7	26	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	15	80	85	58	67	66	65	74	48	78	53	84	74	55	69	55	3	3	4	7	4	7	4	3	8	4	3	3	7	4	6	5	8	5	5	5	22	1	69	89	88	82	85	85	70	103	69	100	68	78	103	78	99	74	2	5	4	5	3	8	5	4	8	5	5	5	6	4	5	6	5	7	6	6	22	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	29	75	91	56	64	68	100	110	70	75	90	90	100	65	70	80	1	3	2	7	1	7	5	8	4	5	3	9	7	5	7	8	8	6	6	8	24	2	41	65	92	68	75	57	85	80	85	65	75	75	85	80	65	65	1	3	2	6	1	7	3	8	5	7	3	9	7	5	7	7	8	5	6	7	24	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	7	95	68	52	68	62	75	60	66	80	50	95	65	55	75	55	3	4	7	4	6	5	4	7	NA	9	4	8	5	7	5	4	7	7	7	9	26	2	16	62	69	67	75	63	50	60	56	65	50	60	65	65	70	60	5	7	6	6	8	6	5	8	3	6	3	6	5	6	6	3	7	9	8	9	26	2	20	84	58	54	68	56	66	50	45	80	45	85	60	50	70	45	4	5	7	4	6	4	4	5	4	7	4	8	8	5	5	7	8	7	8	9	26	2
2	49	100	70	54	64	62	80	60	45	75	50	85	62	45	70	55	3	2	6	1	1	3	4	9	4	8	1	9	7	6	6	8	9	5	6	9	42	1	28	65	85	60	85	57	85	100	75	100	75	75	100	75	100	75	3	2	7	1	2	3	5	9	5	8	1	9	8	7	7	8	9	6	6	9	42	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	17	100	85	48	64	53	85	100	60	75	70	86	100	50	75	60	3	6	4	6	3	6	2	6	3	6	4	6	8	4	7	8	8	6	7	7	27	1	44	68	96	72	75	82	55	114	60	90	65	60	100	70	85	70	2	5	4	5	2	7	3	5	3	6	4	7	8	5	7	7	8	5	6	6	27	1	36	84	80	48	80	62	110	95	60	70	50	84	90	60	80	62	2	5	3	5	2	7	3	6	3	6	5	6	8	5	7	7	8	5	6	7	28	1
2	26	95	80	56	68	53	75	70	70	80	70	80	75	65	75	65	2	6	5	6	3	7	4	6	4	4	7	6	5	3	6	4	4	6	7	6	67	1	13	68	92	86	85	80	90	80	72	99	64	86	92	77	93	72	1	6	6	6	3	6	4	5	4	4	6	6	4	4	6	7	5	8	8	6	67	1	2	86	80	50	74	53	70	70	63	64	70	80	76	56	67	67	1	6	7	5	3	6	4	6	3	6	6	8	8	4	5	8	8	7	5	6	68	1
1	8	75	68	60	76	80	60	80	51	90	65	65	80	51	90	65	2	5	7	4	6	2	5	6	5	7	5	6	6	5	5	6	6	7	6	7	35	2	65	78	92	80	92	60	63	80	100	110	80	68	80	90	110	80	1	6	5	4	5	4	5	6	5	7	5	7	7	4	5	7	7	6	7	6	35	2	13	100	68	64	77	53	80	80	52	90	70	80	80	58	85	70	1	5	5	6	4	4	4	6	5	6	4	7	7	5	5	6	6	6	7	6	35	2
2	52	75	70	52	64	75	60	60	65	55	60	65	63	60	60	65	4	7	4	6	3	5	6	4	6	4	6	4	6	7	7	6	6	5	7	7	55	2	14	75	80	60	92	69	60	70	75	80	55	68	75	68	87	60	3	7	4	6	4	5	4	6	5	6	4	6	9	8	9	9	9	4	7	9	55	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	9	95	75	48	72	62	75	65	60	85	50	80	65	60	85	55	4	3	7	6	1	5	2	8	2	7	1	7	8	4	7	8	8	4	7	8	51	1	55	86	98	68	98	60	70	85	85	85	80	75	85	85	85	80	3	3	6	6	1	5	2	9	2	7	2	7	8	6	6	8	8	2	7	8	51	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	62	78	59	54	71	65	63	51	68	84	52	67	51	62	79	54	2	4	7	3	2	5	4	8	3	8	2	8	7	3	5	7	8	9	8	9	30	1	48	80	98	61	86	79	65	86	77	75	63	74	92	70	77	65	2	3	8	3	2	5	2	9	3	8	3	7	7	2	5	7	7	9	8	9	30	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	28	75	70	60	80	80	60	60	50	70	65	70	65	55	75	70	2	4	3	6	6	4	3	7	5	6	4	7	7	5	6	8	8	5	6	7	45	1	11	75	100	60	75	60	60	90	75	65	80	65	95	70	70	70	2	6	4	6	7	4	3	7	2	7	4	8	8	5	6	8	8	4	6	8	45	1	4	75	68	48	77	69	60	80	60	90	55	65	75	55	85	60	2	6	6	4	7	5	3	6	3	7	4	8	7	5	5	6	7	5	6	8	45	1
1	41	100	72	48	102	62	80	85	60	120	50	90	75	55	110	60	3	6	4	6	4	6	6	6	6	6	4	6	8	8	8	8	8	4	8	8	35	2	3	56	92	60	85	82	75	80	75	100	65	65	85	70	95	70	5	7	3	6	4	4	4	4	6	6	6	4	6	8	8	6	6	5	6	7	35	2	10	86	78	60	58	50	70	68	50	50	40	75	70	55	50	45	3	6	4	6	6	4	6	6	4	6	6	6	8	7	7	6	8	5	7	8	35	1
2	38	100	68	54	80	56	80	60	45	70	45	90	65	49	75	50	2	7	4	7	NA	7	9	4	7	3	6	3	7	7	9	6	7	8	8	5	37	2	7	90	93	76	85	60	120	110	95	100	80	100	115	86	93	79	2	7	3	7	9	7	9	9	8	3	7	3	7	7	7	6	7	9	9	6	37	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	21	78	68	48	70	54	105	80	60	61	72	90	80	55	63	70	3	1	5	4	2	4	2	9	3	9	2	8	9	3	6	9	8	1	6	9	29	1	1	75	82	53	66	62	60	72	44	58	50	66	75	44	58	52	3	2	5	3	2	6	2	9	4	8	3	8	8	2	5	9	9	1	5	9	29	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	21	89	68	48	83	75	70	80	60	100	100	80	80	60	100	90	4	6	4	5	6	6	6	7	5	5	6	7	6	7	7	8	8	6	9	8	48	2	42	68	100	61	95	64	55	88	77	111	85	65	99	66	111	77	4	6	5	4	6	6	6	8	4	6	6	7	8	8	8	8	8	6	8	9	48	2	49	95	91	56	95	72	77	111	70	111	95	80	99	66	101	88	1	4	5	4	6	6	5	7	5	6	4	6	7	9	9	7	7	5	9	8	48	2
1	16	90	75	50	80	69	120	65	42	70	55	110	65	50	75	58	2	4	3	6	5	6	6	6	6	2	6	3	4	2	3	6	7	5	6	3	27	2	15	75	75	97	75	62	100	65	120	90	50	70	70	100	80	55	4	4	5	3	4	5	5	4	2	3	5	4	4	8	6	5	4	4	2	3	27	2	8	95	85	60	75	56	75	75	50	65	45	80	75	50	65	45	2	3	3	4	1	2	1	6	3	7	7	6	7	3	4	5	8	4	5	5	27	2
